,Unnamed: 0,name,return_type,signature,params,summary,source_code,extent,file_path,sum_tokenize
0,0,stbi__sse2_available,int,int stbi__sse2_available(),[],检测SSE2指令集是否可用,"static int stbi__sse2_available(void)
{
   // If we're even attempting to compile this on GCC/Clang, that means
   // -msse2 is on, which means the compiler is allowed to use SSE2
   // instructions at will, and so are we.
   return 1;
}","{'begin': {'line': 765, 'column': 1}, 'end': {'line': 771, 'column': 2}}",play_bmp_sequence.c,"['检测', 'SSE2', '指令', '指令集', '是否', '可用']"
1,1,stbi__start_mem,void,"void stbi__start_mem(stbi__context * s, const stbi_uc * buffer, int len)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'buffer', 'type': 'const stbi_uc *'}, {'name': 'len', 'type': 'int'}]",初始化内存图像读取上下文参数,"static void stbi__start_mem(stbi__context *s, stbi_uc const *buffer, int len)
{
   s->io.read = NULL;
   s->read_from_callbacks = 0;
   s->callback_already_read = 0;
   s->img_buffer = s->img_buffer_original = (stbi_uc *) buffer;
   s->img_buffer_end = s->img_buffer_original_end = (stbi_uc *) buffer+len;
}","{'begin': {'line': 826, 'column': 1}, 'end': {'line': 833, 'column': 2}}",play_bmp_sequence.c,"['初始', '初始化', '内存', '图像', '读取', '上下', '下文', '上下文', '参数']"
2,2,stbi__start_callbacks,void,"void stbi__start_callbacks(stbi__context * s, stbi_io_callbacks * c, void * user)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'c', 'type': 'stbi_io_callbacks *'}, {'name': 'user', 'type': 'void *'}]",初始化图像读取回调及缓冲区设置,"static void stbi__start_callbacks(stbi__context *s, stbi_io_callbacks *c, void *user)
{
   s->io = *c;
   s->io_user_data = user;
   s->buflen = sizeof(s->buffer_start);
   s->read_from_callbacks = 1;
   s->callback_already_read = 0;
   s->img_buffer = s->img_buffer_original = s->buffer_start;
   stbi__refill_buffer(s);
   s->img_buffer_original_end = s->img_buffer_end;
}","{'begin': {'line': 836, 'column': 1}, 'end': {'line': 846, 'column': 2}}",play_bmp_sequence.c,"['初始', '初始化', '图像', '读取', '回调', '及', '缓冲', '缓冲区', '设置']"
3,3,stbi__stdio_read,int,"int stbi__stdio_read(void * user, char * data, int size)","[{'name': 'user', 'type': 'void *'}, {'name': 'data', 'type': 'char *'}, {'name': 'size', 'type': 'int'}]",使用fread读取指定大小的文件数据,"static int stbi__stdio_read(void *user, char *data, int size)
{
   return (int) fread(data,1,size,(FILE*) user);
}","{'begin': {'line': 850, 'column': 1}, 'end': {'line': 853, 'column': 2}}",play_bmp_sequence.c,"['使用', 'fread', '读取', '指定', '大小', '的', '文件', '数据']"
4,4,stbi__stdio_skip,void,"void stbi__stdio_skip(void * user, int n)","[{'name': 'user', 'type': 'void *'}, {'name': 'n', 'type': 'int'}]",跳过输入流中n字节并重置结束标志,"static void stbi__stdio_skip(void *user, int n)
{
   int ch;
   fseek((FILE*) user, n, SEEK_CUR);
   ch = fgetc((FILE*) user);  /* have to read a byte to reset feof()'s flag */
   if (ch != EOF) {
      ungetc(ch, (FILE *) user);  /* push byte back onto stream if valid. */
   }
}","{'begin': {'line': 855, 'column': 1}, 'end': {'line': 863, 'column': 2}}",play_bmp_sequence.c,"['跳过', '输入', '流中', 'n', '字节', '并', '重置', '结束', '标志']"
5,5,stbi__stdio_eof,int,int stbi__stdio_eof(void * user),"[{'name': 'user', 'type': 'void *'}]",检查文件流是否结束或出错,"static int stbi__stdio_eof(void *user)
{
   return feof((FILE*) user) || ferror((FILE *) user);
}","{'begin': {'line': 865, 'column': 1}, 'end': {'line': 868, 'column': 2}}",play_bmp_sequence.c,"['检查', '文件', '流', '是否', '结束', '或', '出错']"
6,6,stbi__start_file,void,"void stbi__start_file(stbi__context * s, FILE * f)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'f', 'type': 'FILE *'}]",使用标准IO回调初始化文件读取上下文,"static void stbi__start_file(stbi__context *s, FILE *f)
{
   stbi__start_callbacks(s, &stbi__stdio_callbacks, (void *) f);
}","{'begin': {'line': 877, 'column': 1}, 'end': {'line': 880, 'column': 2}}",play_bmp_sequence.c,"['使用', '标准', 'IO', '回调', '初始', '初始化', '文件', '读取', '上下', '下文', '上下文']"
7,7,stbi__rewind,void,void stbi__rewind(stbi__context * s),"[{'name': 's', 'type': 'stbi__context *'}]",将图像缓冲区指针重置到初始位置，用于重新读取数据流,"static void stbi__rewind(stbi__context *s)
{
   // conceptually rewind SHOULD rewind to the beginning of the stream,
   // but we just rewind to the beginning of the initial buffer, because
   // we only use it after doing 'test', which only ever looks at at most 92 bytes
   s->img_buffer = s->img_buffer_original;
   s->img_buffer_end = s->img_buffer_original_end;
}","{'begin': {'line': 886, 'column': 1}, 'end': {'line': 893, 'column': 2}}",play_bmp_sequence.c,"['将', '图像', '缓冲', '缓冲区', '指针', '重置', '到', '初始', '位置', '，', '用于', '重新', '读取', '数据', '读取数据', '流']"
8,8,stbi_failure_reason,const char *,const char * stbi_failure_reason(),[],返回最近图像加载失败的错误信息描述,"STBIDEF const char *stbi_failure_reason(void)
{
   return stbi__g_failure_reason;
}","{'begin': {'line': 972, 'column': 1}, 'end': {'line': 975, 'column': 2}}",play_bmp_sequence.c,"['返回', '最近', '图像', '加载', '失败', '的', '错误', '误信', '信息', '错误信息', '描述']"
9,9,stbi__err,int,int stbi__err(const char * str),"[{'name': 'str', 'type': 'const char *'}]",设置错误信息并返回失败状态,"static int stbi__err(const char *str)
{
   stbi__g_failure_reason = str;
   return 0;
}","{'begin': {'line': 978, 'column': 1}, 'end': {'line': 982, 'column': 2}}",play_bmp_sequence.c,"['设置', '错误', '误信', '信息', '错误信息', '并', '返回', '失败', '状态']"
