,Unnamed: 0.1,Unnamed: 0,name,return_type,signature,params,summary,source_code,extent,file_path,sum_tokenize
0,0,0,inte_fix_filter,void,"void inte_fix_filter(float dT, int * data)","[{'name': 'dT', 'type': 'float'}, {'name': 'data', 'type': 'int *'}]",根据数据点数量和限制值，调整数据点的输出和误差估计。,"void inte_fix_filter(float dT,_inte_fix_filter_st *data)
{
	float ei_lim_val;
	
	if(data->ei_limit>0)
	{		
		ei_lim_val = LIMIT(data->ei,-data->ei_limit,data->ei_limit);
	}
	else
	{
		ei_lim_val = data->ei;
	}	
	
	data->out = (data->in_est + ei_lim_val);
	
	data->e = data->fix_ki *(data->in_obs - data->out);

	data->ei += data->e *dT;

}","{'begin': {'line': 9, 'column': 1}, 'end': {'line': 28, 'column': 2}}",startup_msp432e401y_ewarm.c,"['根据', '数据', '点', '数量', '和', '限制', '值', '，', '调整', '数据', '点', '的', '输出', '和', '误差', '估计', '。']"
1,1,1,fix_inte_filter,void,"void fix_inte_filter(float dT, int * data)","[{'name': 'dT', 'type': 'float'}, {'name': 'data', 'type': 'int *'}]",根据输入的dT和data数组，更新data数组中的out和e值，并对e进行限制处理。,"void fix_inte_filter(float dT,_fix_inte_filter_st *data)
{
	
	data->out += (data->in_est_d + data->e ) *dT;
	
	data->e = data->fix_kp *(data->in_obs - data->out);

	if(data->e_limit>0)
	{		
		data->e = LIMIT(data->e,-data->e_limit,data->e_limit);
	}
	
}","{'begin': {'line': 30, 'column': 1}, 'end': {'line': 42, 'column': 2}}",startup_msp432e401y_ewarm.c,"['根据', '输入', '的', 'dT', '和', 'data', '数组', '，', '更新', 'data', '数组', '中', '的', 'out', '和', 'e', '值', '，', '并', '对', 'e', '进行', '限制', '处理', '。']"
2,2,2,limit_filter,void,"void limit_filter(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]",对输入数据进行增量滤波，适合大噪声低滞后场景，收敛快,"void limit_filter(float T,float hz,_lf_t *data,float in) //增量滤波，适合大噪声低滞后（无缝），收敛最快
{
	float abs_t;
// 	LPF_1(hz,T,	 in,&(data->lpf_1)); 
// 	abs_t = ABS(data->lpf_1);
// 	data->out = LIMIT(in,-abs_t,abs_t);
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
 	abs_t = ABS(in);
	data->out = LIMIT((data->lpf_1),-abs_t,abs_t);
}","{'begin': {'line': 44, 'column': 1}, 'end': {'line': 53, 'column': 2}}",startup_msp432e401y_ewarm.c,"['对', '输入', '数据', '进行', '增量', '滤波', '，', '适合', '大', '噪声', '低', '滞后', '场景', '，', '收敛', '快']"
3,3,3,limit_filter_2,void,"void limit_filter_2(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]",对输入信号进行增量滤波和均衡处理，但存在一定的滞后。,"void limit_filter_2(float T,float hz,_lf_t *data,float in) //增量滤波，均衡，但滞后稍大(数据反向等待低通反向)
{
	float abs_t;
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
	abs_t = ABS(data->lpf_1);
	data->out = LIMIT(in,-abs_t,abs_t);
// 	LPF_1(hz,T,	 in,&(data->lpf_1)); 
//  	abs_t = ABS(in);
// 	data->out = LIMIT((data->lpf_1),-abs_t,abs_t);
}","{'begin': {'line': 55, 'column': 1}, 'end': {'line': 64, 'column': 2}}",startup_msp432e401y_ewarm.c,"['对', '输入', '信号', '进行', '增量', '滤波', '和', '均衡', '处理', '，', '但', '存在', '一定', '的', '滞后', '。']"
4,4,4,limit_filter_3,void,"void limit_filter_3(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]",增量滤波函数，用于处理低噪声、小滞后情况，或噪声大但收敛速度较慢的情况。,"void limit_filter_3(float T,float hz,_lf_t *data,float in) //增量滤波，适合低噪声滞后较小(等幅大噪声平行不收敛),噪声大收敛过慢
{
	float abs_t;
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
	abs_t = ABS(in);
	data->out = data->lpf_1 = LIMIT((data->lpf_1),-abs_t,abs_t);

}","{'begin': {'line': 66, 'column': 1}, 'end': {'line': 73, 'column': 2}}",startup_msp432e401y_ewarm.c,"['增量', '滤波', '函数', '，', '用于', '处理', '噪声', '低噪声', '、', '小', '滞后', '情况', '，', '或', '噪声', '大', '但', '收敛', '速度', '较慢', '的', '情况', '。']"
5,5,5,steepest_descend,void,"void steepest_descend(int[] arr, int len, int * steepest, int step_num, int in)","[{'name': 'arr', 'type': 'int[]'}, {'name': 'len', 'type': 'int'}, {'name': 'steepest', 'type': 'int *'}, {'name': 'step_num', 'type': 'int'}, {'name': 'in', 'type': 'int'}]",根据数组arr和步数step_num计算最陡下降路径，并更新最陡值和当前位置。,"void steepest_descend(s32 arr[],u8 len,_steepest_st *steepest,u8 step_num,s32 in)
{	
	u8 updw = 1;//0 dw,1up
	s16 i;
	u8 step_cnt=0;
	u8 step_slope_factor=1;
	u8 on = 1;
	s8 pn = 1;
	//float last = 0;
	float step = 0;
	s32 start_point = 0;
	s32 pow_sum = 0;
	
	steepest->lst_out = steepest->now_out;
	
	if( ++(steepest->cnt) >= len )	
	{
		(steepest->cnt) = 0; //now
	}
	
	//last = arr[ (steepest->cnt) ];
	
	arr[ (steepest->cnt) ] = in;
	
	step = (float)(in - steepest->lst_out)/step_num ;//梯度
	
	if(ABS(step)<1)//整形数据<1的有效判定
	{
		if(ABS(step)*step_num<2)
		{
			step = 0;
		}
		else
		{
		  step = (step > 0) ? 1 : -1;
		}
	}
	
	start_point = steepest->lst_out;
	do
	{
		//start_point = steepest->lst_out;
		for(i=0;i<len;i++)
		{
// 			j = steepest->cnt + i + 1;
// 			if( j >= len )	
// 			{
// 				j = j - len; //顺序排列
// 			}
			pow_sum += my_pow(arr[i] - start_point );// /step_num;//除法减小比例**
			
			//start_point += pn *(step_slope_factor *step/len);
		}
			
		if(pow_sum - steepest->lst_pow_sum > 0)
		{		
			if(updw==0)
			{
				on = 0;
			}
			updw = 1;//上升了
			pn = (pn == 1 )? -1:1;

		}
		else
		{
			updw = 0; //正在下降
 			if(step_slope_factor<step_num)
 			{
 				step_slope_factor++;
 			}
		}
			
		steepest->lst_pow_sum = pow_sum;		
		pow_sum = 0;
		start_point += pn *step;//调整
		
		if(++step_cnt > step_num)//限制计算次数
		{
			on = 0;
		}
			//////
			if(step_slope_factor>=2)//限制下降次数1次，节省时间，但会增大滞后，若cpu时间充裕可不用。
			{
				on = 0;

			}
			//////
		
	}
	while(on==1);
	
	steepest->now_out = start_point ;//0.5f *(start_point + steepest->lst_out);//
	
	steepest->now_velocity_xdt = steepest->now_out - steepest->lst_out;
}","{'begin': {'line': 78, 'column': 1}, 'end': {'line': 173, 'column': 2}}",startup_msp432e401y_ewarm.c,"['根据', '数组', 'arr', '和', '步数', 'step', '_', 'num', '计算', '最', '陡', '下降', '路径', '，', '并', '更新', '最', '陡值', '和', '当前', '位置', '。']"
6,6,6,fir_arrange_filter,void,"void fir_arrange_filter(float * arr, int len, int * fil_cnt, float in, float * arr_out)","[{'name': 'arr', 'type': 'float *'}, {'name': 'len', 'type': 'int'}, {'name': 'fil_cnt', 'type': 'int *'}, {'name': 'in', 'type': 'float'}, {'name': 'arr_out', 'type': 'float *'}]",对输入数组进行滤波和重排,"void fir_arrange_filter(float *arr,u16 len,u8 *fil_cnt,float in,float *arr_out) //len<=255 len >= 3
{
	//float arrange[len];
	float tmp;
	u8 i,j;
/*
窗口数据处理
*/		
	if( ++*fil_cnt >= len )	
	{
		*fil_cnt = 0; //now
	}
	
	arr[ *fil_cnt ] = in;
/*
窗口数据处理
*/	
	
/*
赋值、排列
*/	
	for(i=0;i<len;i++)
	{
		arr_out[i] = arr[i];
	}
	
	for(i=0;i<len-1;i++)
	{
		for(j=0;j<len-1-i;j++)
		{
			if(arr_out[j]>arr_out[j+1])
			{
				tmp = arr_out[j+1];
				arr_out[j+1] = arr_out[j];
				arr_out[j] = tmp;
			}
		}
	}
/*
赋值、排列
*/		
	

}","{'begin': {'line': 175, 'column': 1}, 'end': {'line': 218, 'column': 2}}",startup_msp432e401y_ewarm.c,"['对', '输入', '数组', '进行', '滤波', '和', '重排']"
7,7,7,Moving_Average,void,"void Moving_Average(float[] moavarray, int len, int * fil_cnt, float in, float * out)","[{'name': 'moavarray', 'type': 'float[]'}, {'name': 'len', 'type': 'int'}, {'name': 'fil_cnt', 'type': 'int *'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]","{""name"": ""Moving_Average"", ""summary"": ""计算移动平均值，输入数组、长度、文件数量、当前值和输出数组""}","void Moving_Average(float moavarray[],u16 len ,u16 *fil_cnt,float in,float *out)
{
	u16 width_num;
	float last;

	width_num = len ;
	
	if( ++*fil_cnt >= width_num )	
	{
		*fil_cnt = 0; //now
	}
	
	last = moavarray[ *fil_cnt ];
	
	moavarray[ *fil_cnt ] = in;
	
	*out += ( in - ( last  ) )/(float)( width_num ) ;
	//*out += 0.00001f *(in - *out);
	*out += 0.00001f *LIMIT((in - *out),-1,1);  //数据精度误差修正
	
}","{'begin': {'line': 223, 'column': 2}, 'end': {'line': 243, 'column': 2}}",startup_msp432e401y_ewarm.c,"['{', '""', 'name', '""', ':', ' ', '""', 'Moving', '_', 'Average', '""', ',', ' ', '""', 'summary', '""', ':', ' ', '""', '计算', '移动', '平均', '均值', '平均值', '，', '输入', '数组', '、', '长度', '、', '文件', '数量', '、', '当前', '值', '和', '输出', '数组', '""', '}']"
8,8,8,LPF_1,void,"void LPF_1(float hz, float time, float in, float * out)","[{'name': 'hz', 'type': 'float'}, {'name': 'time', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]",LPF_1函数用于低通滤波，输入频率、时间、输入值及输出值指针，计算并更新输出值。,"void LPF_1(float hz,float time,float in,float *out)  
{
	*out += ( 1 / ( 1 + 1 / ( hz *6.28f *time ) ) ) *( in - *out );

}","{'begin': {'line': 245, 'column': 1}, 'end': {'line': 249, 'column': 2}}",startup_msp432e401y_ewarm.c,"['LPF', '_', '1', '函数', '用于', '低', '滤波', '通滤波', '，', '输入', '频率', '、', '时间', '、', '输入', '值及', '输出', '值', '指针', '，', '计算', '并', '更新', '输出', '值', '。']"
9,9,9,LPF_1_db,void,"void LPF_1_db(float hz, float time, double in, double * out)","[{'name': 'hz', 'type': 'float'}, {'name': 'time', 'type': 'float'}, {'name': 'in', 'type': 'double'}, {'name': 'out', 'type': 'double *'}]",对输入信号进行低通滤波处理,"void LPF_1_db(float hz,float time,double in,double *out)
{
	*out += ( 1 / ( 1 + 1 / ( hz *6.28f *time ) ) ) *( in - *out );

}","{'begin': {'line': 251, 'column': 1}, 'end': {'line': 255, 'column': 2}}",startup_msp432e401y_ewarm.c,"['对', '输入', '信号', '进行', '低', '滤波', '通滤波', '处理']"
